Category,,Cafes and restaurants,Catering services,Total
Meals on Premises,$m,"6,329.80",98.8,"6,428.60"
Takeaway Food,$m,646.1,23.7,669.8
Catering Services,$m,108.9,"3,182.40","3,291.30"
Liquor & Beverages,$m,"2,460.70",263.9,"2,724.60"
Other,$m,157.1,401.8,558.9
Total,$m,"9,702.60","3,970.70","13,673.20"
