census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2017,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Lucky Chans,"Shop 30, Ground , 8 Whiteman Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Outdoor,140,144.9583356,-37.8231616,"-37.823161595550005, 144.9583356388194"
2018,806,110343,640947,27-45 Whiteman Street SOUTHBANK 3006,Southbank,Mr Hive Kitchen & Bar,"Shop 140, Ground , 27 Whiteman Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,358,144.9584422,-37.82540403,"-37.825404033, 144.95844223381087"
2018,811,110362,110362,133-139 City Road SOUTHBANK 3006,Southbank,Dee Casa,139 City Road SOUTHBANK 3006,4511,Cafes and Restaurants,Seats - Outdoor,16,144.9635826,-37.82348398,"-37.82348398275, 144.9635826319669"
2018,870,102178,102178,23-99 Commercial Road MELBOURNE 3004,Melbourne (Remainder),Alf's Cafe,"Shop 2, 55 Commercial Road MELBOURNE 3004",4511,Cafes and Restaurants,Seats - Indoor,244,144.9828162,-37.8465703,"-37.84657030085, 144.9828162329293"
2018,920,618951,618951,18-22 Flemington Road PARKVILLE 3050,Parkville,Isabella,"Shop 1, 20 Flemington Road PARKVILLE 3050",4511,Cafes and Restaurants,Seats - Indoor,80,144.9550029,-37.79885279,"-37.79885279195, 144.95500291431983"
2018,1105,628712,628712,717-731 Collins Street DOCKLANDS 3008,Docklands,Long Shot,"Tenancy 44, Ground , 727 Collins Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,50,144.9501181,-37.82070279,"-37.82070279135, 144.95011811232098"
2018,1107,602858,602858,2-48 Harbour Esplanade DOCKLANDS 3008,Docklands,Cafe La Kiss,1 Harbour Esplanade DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Outdoor,24,144.9486227,-37.82202104,"-37.82202103918969, 144.9486227334"
2018,1108,611364,611364,791-803 Bourke Street DOCKLANDS 3008,Docklands,Pok Pok,"Shop 7, 801 Bourke Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,50,144.9456206,-37.81974124,"-37.81974124479267, 144.9456206136"
2018,1108,611367,611367,791-833 Collins Street DOCKLANDS 3008,Docklands,Koji Sushi,"Shop 10, 833 Collins Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9457013,-37.82206262,"-37.82206262355, 144.94570130868357"
2018,1110,620312,593737,23-37 Star Crescent DOCKLANDS 3008,Docklands,Subway,9 Star Crescent DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Outdoor,40,144.9379984,-37.81328752,"-37.8132875163, 144.93799836630816"
2018,2384,617689,617689,27-31 Racecourse Road NORTH MELBOURNE 3051,North Melbourne,Melbourne Kebab Box,"Kiosk , Adjacent 27-31 Racecourse Road NORTH MELBOURNE 3051",4512,Takeaway Food Services,Seats - Outdoor,10,144.9409608,-37.78974281,"-37.78974280720024, 144.94096077615"
2018,2390,617396,617396,41-61 Boundary Road NORTH MELBOURNE 3051,North Melbourne,Souperman,Part 47-51 Boundary Road NORTH MELBOURNE 3051,4513,Catering Services,Seats - Indoor,17,144.9387114,-37.79407408,"-37.79407408323281, 144.9387113541"
2019,6,110655,110655,1-19 Princes Walk MELBOURNE 3000,Melbourne (CBD),Pilgrim,"Vault , 15-19 Princes Walk MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,130,144.9686538,-37.81867875,"-37.81867874765, 144.96865384918814"
2019,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Kenny's Bakery Cafe,"Shop 3, Ground , 34 Queen Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,8,144.9624375,-37.81798972,"-37.81798972045, 144.9624374712571"
2019,18,103918,103918,61-73 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Cecconi's Flinders Lane,61 Flinders Lane MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,180,144.9725124,-37.81506488,"-37.8150648791, 144.97251244573033"
2019,21,579252,579252,559-587 Collins Street MELBOURNE 3000,Melbourne (CBD),Poked,"Tenancy , 567-587 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,34,144.9557247,-37.81902009,"-37.8190200855, 144.95572468102446"
2019,24,102091,102091,351-357 Collins Street MELBOURNE 3000,Melbourne (CBD),O-Bento,"Tenancy 8, 1 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.9627911,-37.81729659,"-37.81729659038814, 144.96279108305"
2019,24,110763,110763,319-325 Collins Street MELBOURNE 3000,Melbourne (CBD),Souk Kitchen & Bar,13 Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,130,144.9635576,-37.81683919,"-37.8168391899, 144.9635575789062"
2019,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Centro Espresso Caffe,"Shop 2, 252 Flinders Lane MELBOURNE 3000",4512,Takeaway Food Services,Seats - Outdoor,4,144.9655965,-37.8166029,"-37.81660289619204, 144.96559654045"
2019,25,102081,102081,241-245 Collins Street MELBOURNE 3000,Melbourne (CBD),Ganache Chocolate Lounge,"Ground , 245 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,16,144.9658295,-37.81606184,"-37.816061838299795, 144.96582950754998"
2019,25,102083,102083,251-257 Collins Street MELBOURNE 3000,Melbourne (CBD),Brunetti City,"Ground , 250 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,300,144.9656508,-37.81635199,"-37.816351987746074, 144.96565081735002"
2019,25,102086,102086,271-285 Collins Street MELBOURNE 3000,Melbourne (CBD),Lindt Chocolat Cafe,"Shop , Abutting 271 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,38,144.9649735,-37.81654781,"-37.81654781240799, 144.96497351275002"
2019,26,102073,102073,141-165 Collins Street MELBOURNE 3000,Melbourne (CBD),Lello Pasta Bar,"Shop 15, 150 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.9687615,-37.81545152,"-37.81545151804356, 144.96876152725"
2019,67,105681,110701,145-147 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Jang Go Mama,147 Lonsdale Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Outdoor,4,144.9681526,-37.8108144,"-37.81081439842686, 144.9681525514"
2019,72,105726,110707,550 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Suda,"Shop , 10C Lonsdale Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.9560016,-37.81346261,"-37.81346261063083, 144.95600158025002"
2019,420,104711,104711,13-25 Hawke Street WEST MELBOURNE 3003,West Melbourne (Residential),Miami Hotel Melbourne,13-25 Hawke Street WEST MELBOURNE 3003,4400,Accommodation,Seats - Indoor,30,144.9485177,-37.80608742,"-37.80608742215, 144.94851771555182"
2016,38,102168,102168,24-28 Collins Street MELBOURNE 3000,Melbourne (CBD),McDonald's,"Shop 3, Ground , 24-28 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.9727108,-37.81342034,"-37.813420337533486, 144.9727108360488"
2016,38,103627,103627,104-110 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Subway,"Part Ground , 104 Exhibition Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,5,144.9713654,-37.81310292,"-37.8131029158241, 144.9713653620928"
2016,38,108272,108272,22 Ridgway Place MELBOURNE 3000,Melbourne (CBD),Liaision,"Ground , 22 Ridgway Place MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,22,144.9724984,-37.81292413,"-37.8129241315692, 144.9724984255816"
2016,41,105948,105948,582-584 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Saint & Rogue,582-584 Little Collins Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,144.9553614,-37.81742034,"-37.81742034144726, 144.95536140545556"
2016,42,105391,105391,140-146 King Street MELBOURNE 3000,Melbourne (CBD),Chilli India,"Part Ground , 140-146 King Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,75,144.9562852,-37.81673697,"-37.81673696529579, 144.95628515442587"
2016,43,110147,110147,114-128 William Street MELBOURNE 3000,Melbourne (CBD),Trios Cafe,"Part Ground , 114 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,18,144.9589319,-37.81630803,"-37.81630802777758, 144.9589319066054"
2016,45,101142,101142,309-325 Bourke Street MELBOURNE 3000,Melbourne (CBD),Sushi Monger,"Shop 17, 309-325 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,13,144.964541,-37.81445862,"-37.81445861712644, 144.96454098046968"
2016,47,101126,101126,173-175 Bourke Street MELBOURNE 3000,Melbourne (CBD),Taco Bill Mexican Restaurant,"Part Level 1, 142 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.9684264,-37.8129903,"-37.81299030000287, 144.96842640034436"
2016,47,102197,102197,20-26 Coromandel Place MELBOURNE 3000,Melbourne (CBD),Oli Levi,20 Coromandel Place MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,20,144.9692642,-37.81302917,"-37.81302916652539, 144.96926423969694"
2016,47,602997,103597,121 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Mabrown Curry House,14 Exhibition Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,10,144.9701206,-37.8128195,"-37.81281949583683, 144.97012060841234"
2016,47,108591,108591,114-120 Russell Street MELBOURNE 3000,Melbourne (CBD),Brioche by Phillip,"Shop 1, Ground , 114 Russell Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,10,144.9690307,-37.8134935,"-37.81349350249417, 144.96903072912073"
2016,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),Lanes Edge Cafe,39 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,14,144.9720552,-37.81193702,"-37.81193701505745, 144.9720552011901"
2016,48,101111,101111,51 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Mess Hall,51 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,38,144.9718058,-37.81200751,"-37.81200751065888, 144.9718058492177"
2016,48,101116,101116,79-85 Bourke Street MELBOURNE 3000,Melbourne (CBD),Tuscan Bar Melbourne,"Level 1, 79 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,148,144.9710491,-37.81218152,"-37.81218152051927, 144.9710491287612"
2016,51,105304,105304,185 King Street MELBOURNE 3000,Melbourne (CBD),King Jons,185 King Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,47,144.9551599,-37.81584253,"-37.81584252889288, 144.95515991119794"
2016,52,101172,101172,578-606 Bourke Street MELBOURNE 3000,Melbourne (CBD),Nando's - Bourke Place,"Shop 16, LwrGround , 600 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,39,144.9561482,-37.81567754,"-37.81567754309961, 144.95614817918317"
2016,53,101175,101175,516-526 Bourke Street MELBOURNE 3000,Melbourne (CBD),Bluestones 520 Cafe,"Unit 3, Ground , 520 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,70,144.9583987,-37.81527179,"-37.81527179066568, 144.95839874493825"
2016,53,101177,101177,486-492 Bourke Street MELBOURNE 3000,Melbourne (CBD),Cafe Euro Food & Wine Bar,"Ground , 492 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,30,144.9592063,-37.81499992,"-37.81499992225022, 144.9592063478041"
2016,56,108538,108538,163-169 Russell Street MELBOURNE 3000,Melbourne (CBD),Noodle Wizard,167 Russell Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.9676414,-37.81247212,"-37.81247212005729, 144.96764135349753"
2016,239,103258,103258,774-782 Elizabeth Street MELBOURNE 3000,Carlton,Top End Cafe,"Ground , 780-782 Elizabeth Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Outdoor,14,144.958033,-37.80033777,"-37.80033777204672, 144.95803295745014"
2016,239,107548,107548,222-224 Pelham Street MELBOURNE 3000,Carlton,Books N Bites Cafe,"Ground , 224 Pelham Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.9583374,-37.80169624,"-37.80169624190954, 144.95833738396954"
2016,240,104466,104466,153-163 Barry Street CARLTON 3053,Carlton,Baretto Cafe,"Ground , 161 Barry Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,15,144.9592905,-37.80023396,"-37.80023395605824, 144.95929054971208"
2016,243,105654,105654,22-40 Lincoln Square North CARLTON 3053,Carlton,Bouverie Deli,154 Lincoln Square North CARLTON 3053,4511,Cafes and Restaurants,Seats - Indoor,8,144.9627406,-37.80133751,"-37.801337508610146, 144.96274058047118"
2016,246,106099,106099,163-165 Lygon Street CARLTON 3053,Carlton,Casa Del Gelato,165 Lygon Street CARLTON 3053,4512,Takeaway Food Services,Seats - Indoor,7,144.9664405,-37.80187113,"-37.801871131766184, 144.9664404904907"
2016,246,559022,559022,111-113 Grattan Street CARLTON 3053,Carlton,Tigerlily Cafe,111-113 Grattan Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,18,144.9657793,-37.80081838,"-37.80081838079025, 144.96577931773786"
2016,247,106229,106229,246-252 Lygon Street CARLTON 3053,Carlton,Villa Romana,"Unit 5, 252 Lygon Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,60,144.9673451,-37.80137592,"-37.8013759211696, 144.96734510799644"
2016,247,106234,106234,232 Lygon Street CARLTON 3053,Carlton,Ghans House,232 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,18,144.9672292,-37.80176036,"-37.801760357205815, 144.96722922405323"
2016,252,106240,106240,174-178 Lygon Street CARLTON 3053,Carlton,Lemongrass,174-178 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,16,144.9667893,-37.8030599,"-37.80305989779552, 144.9667893325901"
2016,252,106242,106242,166-168 Lygon Street CARLTON 3053,Carlton,Il Gambero On The Park,166-168 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,28,144.9668178,-37.80331101,"-37.80331101247301, 144.96681784833012"
2016,252,106245,106245,152-154 Lygon Street CARLTON 3053,Carlton,Mawal,152-154 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,20,144.9667538,-37.80359472,"-37.80359472491749, 144.9667538170483"
2016,252,111061,106250,122 Lygon Street CARLTON 3053,Carlton,vacant,122 Lygon Street CARLTON 3053,0,Vacant Space,Seats - Outdoor,8,144.9667115,-37.8044391,"-37.80443910397452, 144.9667114577178"
2016,254,106084,106084,99-109 Lygon Street CARLTON 3053,Carlton,Toto's Pizza,99 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,28,144.9659874,-37.8044973,"-37.80449729750078, 144.96598742360715"
2016,255,107541,107541,95-125 Pelham Street CARLTON 3053,Carlton,Mid Square Coffee,119-125 Pelham Street CARLTON 3053,4512,Takeaway Food Services,Seats - Indoor,12,144.9644316,-37.80282317,"-37.80282317353127, 144.9644315873123"
2016,430,108866,108866,511 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Junie Moon's,"Ground , 511 Spencer Street WEST MELBOURNE 3003",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9485636,-37.80875424,"-37.80875423572947, 144.9485636230659"
2016,434,109697,109697,223 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),Dolcetti,223 Victoria Street WEST MELBOURNE 3003,4511,Cafes and Restaurants,Seats - Indoor,16,144.9540543,-37.80590135,"-37.80590135400368, 144.9540543241914"
2016,524,106321,106321,499 Macaulay Road KENSINGTON 3031,Kensington,Grounded House A Coffee Place,499 Macaulay Road KENSINGTON 3031,4511,Cafes and Restaurants,Seats - Indoor,14,144.9294666,-37.79457748,"-37.79457748151225, 144.92946655711074"
2016,710,108620,108620,391 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),I Sushi,"Shop 1, 391 St Kilda Road MELBOURNE 3004",4511,Cafes and Restaurants,Seats - Indoor,24,144.9757266,-37.83548659,"-37.83548658861627, 144.97572656547288"
2016,724,106798,106798,557 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),"Village Melbourne - Garden, Arbor, Bistro & Terrace",Part 557 St Kilda Road MELBOURNE 3004,4520,"Pubs, Taverns and Bars",Seats - Outdoor,800,144.9809399,-37.84737019,"-37.84737019243369, 144.98093986721295"
2016,724,108646,108646,519-539 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Spudbar @ Chevron,11 St Kilda Road MELBOURNE 3004,4512,Takeaway Food Services,Seats - Indoor,11,144.9798801,-37.84555849,"-37.84555848845682, 144.97988006702337"
2016,724,108650,108650,553 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Cafe Ella,"Part Ground , 553 St Kilda Road MELBOURNE 3004",4511,Cafes and Restaurants,Seats - Indoor,70,144.9803878,-37.84685438,"-37.846854380825185, 144.98038782913517"
2016,746,110438,110437,80 Dorcas Street SOUTHBANK 3006,Southbank,Cafe Clicquot,"Tenancy 2, Ground , 80 Dorcas Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Outdoor,16,144.9662354,-37.83069617,"-37.83069617006081, 144.96623542443987"
2016,752,108653,110733,100 St Kilda Road SOUTHBANK 3006,Southbank,Cafe Vic,"Part Ground , 100 St Kilda Road SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,300,144.9681798,-37.82094336,"-37.82094335737567, 144.96817977232973"
2016,752,110736,110736,130-200 St Kilda Road SOUTHBANK 3006,Southbank,Persimmon Cafe/Bistro,"Part Ground , 180 St Kilda Road SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,160,144.9686364,-37.82273924,"-37.82273923764591, 144.96863637469949"
2016,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Joy Cupcakes,"Shop 21, Ground , 3 Southgate Avenue SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,16,144.9663125,-37.82071954,"-37.82071954088171, 144.96631253645785"
2016,759,108634,108634,455-457 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Cafeteria Lounge,"Ground , 457 St Kilda Road MELBOURNE 3004",4511,Cafes and Restaurants,Seats - Outdoor,28,144.9780209,-37.84040835,"-37.84040834579726, 144.9780209367754"
2016,760,108645,108645,517 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Locale Coffee,"Kiosk , Ground , 517 St Kilda Road MELBOURNE 3004",4512,Takeaway Food Services,Seats - Indoor,4,144.9792977,-37.84459396,"-37.84459396068381, 144.97929773174417"
2016,773,560266,560266,58-70 Lorimer Street DOCKLANDS 3008,Docklands,Zen Izakaya,64A Lorimer Street DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Indoor,100,144.9462971,-37.82485546,"-37.824855458091946, 144.9462970613974"
2016,781,110551,110551,49-89 Turner Street PORT MELBOURNE 3207,Port Melbourne,Cafe Port IT,"Suite 5, 85 Turner Street PORT MELBOURNE 3207",4511,Cafes and Restaurants,Seats - Indoor,35,144.9253798,-37.82302103,"-37.82302102651373, 144.92537984182212"
2016,785,110535,110535,263-329 Lorimer Street FISHERMANS BEND 3207,Port Melbourne,Ocean View Cafe Port Melbourne,"Suite 1, 263-329 Lorimer Street FISHERMANS BEND 3207",4511,Cafes and Restaurants,Seats - Outdoor,36,144.9061119,-37.82437063,"-37.82437062850407, 144.9061118838326"
2016,786,602733,110589,1 Phillip Court FISHERMANS BEND 3207,Port Melbourne,Black Jack Cafe,"Unit 2, 1 Phillip Court FISHERMANS BEND 3207",4511,Cafes and Restaurants,Seats - Indoor,30,144.9208827,-37.82606121,"-37.82606121152076, 144.920882697185"
2016,802,575820,575820,1-9 Freshwater Place SOUTHBANK 3006,Southbank,The Meat & Wine Co,"Shop 2, 3 Freshwater Place SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Indoor,250,144.962192,-37.82171644,"-37.821716438356745, 144.96219203595228"
2016,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Rosetta,"Shop 9, Ground , 8 Whiteman Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Outdoor,63,144.9583451,-37.82316296,"-37.823162961789635, 144.95834505639274"
2016,804,110542,110484,20-30 Convention Centre Place SOUTH WHARF 3006,Southbank,West Village NYC,31 Convention Centre Place SOUTH WHARF 3006,4511,Cafes and Restaurants,Seats - Outdoor,28,144.9537846,-37.82556072,"-37.8255607180874, 144.95378459967165"
2016,807,108054,108054,40-56 Queens Bridge Street SOUTHBANK 3006,Southbank,Mesh/Tonic Bar,"Part Ground , 40-56 Queens Bridge Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Outdoor,16,144.9600288,-37.82398207,"-37.82398207347474, 144.96002875563994"
2016,808,110385,110385,174-184 City Road SOUTHBANK 3006,Southbank,Rumour Restaurant Bar & Lounge,38 City Road SOUTHBANK 3006,4511,Cafes and Restaurants,Seats - Indoor,60,144.961928,-37.82383709,"-37.82383708513245, 144.96192799679295"
2016,812,110355,110355,63-65 City Road SOUTHBANK 3006,Southbank,The Beggar's Bowl,"Ground , 63 City Road SOUTHBANK 3006",4512,Takeaway Food Services,Seats - Indoor,4,144.9658537,-37.82222624,"-37.82222624317352, 144.96585372508815"
2016,812,110417,110417,20-22 Kavanagh Street SOUTHBANK 3006,Southbank,Celina Cafe,"Ground , 20 Kavanagh Street SOUTHBANK 3006",4511,Cafes and Restaurants,Seats - Outdoor,7,144.9658368,-37.82280915,"-37.82280915203883, 144.96583681101248"
2016,904,108506,108506,381-405 Royal Parade PARKVILLE 3052,Parkville,Primary Cafe,"Part Ground , 399 Royal Parade PARKVILLE 3052",4511,Cafes and Restaurants,Seats - Indoor,70,144.9586903,-37.78398369,"-37.78398369390354, 144.95869033431137"
2016,904,556742,556742,419-443 Royal Parade PARKVILLE 3052,Parkville,Vibe Hotel,419-443 Royal Parade PARKVILLE 3052,4400,Accommodation,Seats - Indoor,62,144.9588249,-37.78289972,"-37.78289972149981, 144.95882491805455"
2016,1103,573400,573400,673-683 La Trobe Street DOCKLANDS 3008,Docklands,Spicy House,"Shop 215, 673 La Trobe Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,50,144.9475022,-37.8149013,"-37.81490130310292, 144.94750218928556"
2016,1103,573401,573401,700-704 Bourke Street DOCKLANDS 3008,Docklands,Ichi Maki,700 Bourke Street DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Indoor,60,144.9492965,-37.81724802,"-37.81724801702705, 144.94929646964988"
2016,1103,599505,573403,744-770 Bourke Street DOCKLANDS 3008,Docklands,Halyard Coffee,760 Bourke Street DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Outdoor,14,144.9476206,-37.81813237,"-37.81813236544359, 144.94762060619786"
2016,1104,576024,576023,747-757 Bourke Street DOCKLANDS 3008,Docklands,Dome Bakery Cafe,"Part Ground , 71-77 Bourke Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,43,144.9480015,-37.81938228,"-37.819382282295194, 144.9480015267137"
2016,1105,578096,578096,715-727 Bourke Street DOCKLANDS 3008,Docklands,Cafe Saporo,"Shop 5, Ground , 717 Bourke Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,60,144.9502792,-37.81865869,"-37.81865868836793, 144.95027921091815"
2016,1109,601809,593728,425-427 Docklands Drive DOCKLANDS 3008,Docklands,Goldleaf BBQ Cuisine,82 Docklands Drive DOCKLANDS 3008,4511,Cafes and Restaurants,Seats - Indoor,93,144.9393085,-37.81522646,"-37.81522645600997, 144.93930852676078"
2016,1112,103980,103980,40-66 Siddeley Street DOCKLANDS 3008,Docklands,Sea on Quay,"Unit 13, Part Ground 0, 60-0 Siddeley Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Indoor,20,144.9524884,-37.82288503,"-37.8228850309636, 144.95248837257935"
2017,1,611394,611394,545-557 Flinders Street MELBOURNE 3000,Melbourne (CBD),Tokyo Maki,547 Flinders Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,44,144.9565138,-37.82097904,"-37.8209790437, 144.9565137522286"
2017,4,104034,104034,207-361 Flinders Street MELBOURNE 3000,Melbourne (CBD),Pho Flinders,"Suite 30, Ground , 207-361 Flinders Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,48,144.9657758,-37.81868178,"-37.8186817777, 144.96577579893395"
2017,6,578322,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Bokchoy Tang,"Tenancy 21, 2 Swanston Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,150,144.9699416,-37.81777783,"-37.817777826050005, 144.96994164279243"
2017,113,110690,108118,507-523 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Coffea Coffee,519-521 Elizabeth Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,27,144.9569481,-37.80762482,"-37.8076248221, 144.95694810827098"
2017,131,103978,111287,18-38 Siddeley Street DOCKLANDS 3008,Docklands,Man Mo @ Wtc,"Shop 13, Ground , 18-38 Siddeley Street DOCKLANDS 3008",4511,Cafes and Restaurants,Seats - Outdoor,60,144.9537825,-37.82258101,"-37.8225810113, 144.95378254353602"
2017,217,106189,106189,398-400 Lygon Street CARLTON 3053,Carlton,Trotters Restaurant,400 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,24,144.9677569,-37.79763355,"-37.79763355435, 144.96775692995354"
2017,217,511124,511124,183 Elgin Street CARLTON 3053,Carlton,Gemma Simple Italian,183 Elgin Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,10,144.9683843,-37.79752924,"-37.797529236432425, 144.9683843376"
2017,219,108188,108188,319-323 Rathdowne Street CARLTON 3053,Carlton,East Imperial,"Ground , 319-323 Rathdowne Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Indoor,100,144.9698815,-37.79918348,"-37.7991834824, 144.96988152896057"
2017,226,108230,108230,176 Rathdowne Street CARLTON 3053,Carlton,Bangkok Rain,176 Rathdowne Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,12,144.9711753,-37.79523237,"-37.7952323664, 144.97117527986072"
2017,228,101450,101450,223-227 Canning Street CARLTON 3053,Carlton,Dan O'Connell Hotel,223-227 Canning Street CARLTON 3053,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,144.973388,-37.79303042,"-37.793030424449995, 144.97338802913018"
2017,232,106956,106956,191 Nicholson Street CARLTON 3053,Carlton,Scopri Italian Food & Wine,191 Nicholson Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Indoor,60,144.9749217,-37.79568672,"-37.7956867178, 144.97492168100655"
2017,239,101048,101048,213-221 Berkeley Street MELBOURNE 3000,Carlton,Garage Cafe & Bar,"Part Ground , 213 Berkeley Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,70,144.9584107,-37.80041001,"-37.80041001275001, 144.95841066532603"
2017,240,101052,101052,212 Berkeley Street CARLTON 3053,Carlton,Haymarket Place,"Ground , 212 Berkeley Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,10,144.9589993,-37.80052493,"-37.80052492865, 144.9589993495047"
