census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2010,369,103507,103507,86-90 Errol Street NORTH MELBOURNE 3051,North Melbourne,Court House Hotel,86-90 Errol Street NORTH MELBOURNE 3051,4520,"Pubs, Taverns and Bars",Seats - Indoor,100,144.9499554,-37.80287774,"-37.8028777439, 144.94995539730442"
2010,369,108001,108001,502 Queensberry Street NORTH MELBOURNE 3051,North Melbourne,Mr Price's Food Store,502 Queensberry Street NORTH MELBOURNE 3051,4511,Cafes and Restaurants,Seats - Indoor,30,144.9506619,-37.80286444,"-37.802864443982614, 144.9506619073"
2010,377,103816,103816,65-67 Flemington Road NORTH MELBOURNE 3051,North Melbourne,Mattino Caffe,67 Flemington Road NORTH MELBOURNE 3051,4512,Takeaway Food Services,Seats - Outdoor,8,144.9540071,-37.79936515,"-37.79936515315, 144.95400711187037"
2010,378,103819,103819,81-83 Flemington Road NORTH MELBOURNE 3051,North Melbourne,Cafe Vagabond,81 Flemington Road NORTH MELBOURNE 3051,4511,Cafes and Restaurants,Seats - Indoor,30,144.9531712,-37.79881148,"-37.798811477399994, 144.95317117102206"
2010,423,109721,109721,361-365 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),Three Crowns Hotel,361-365 Victoria Street WEST MELBOURNE 3003,4520,"Pubs, Taverns and Bars",Seats - Indoor,38,144.9494608,-37.80539706,"-37.805397064610624, 144.94946077315"
2010,427,108867,108867,515-523 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Royal Mail Hotel On Spencer,515-523 Spencer Street WEST MELBOURNE 3003,4520,"Pubs, Taverns and Bars",Seats - Outdoor,15,144.9482773,-37.80844767,"-37.8084476694, 144.94827728834207"
2010,431,109006,109006,71-73 Stanley Street WEST MELBOURNE 3003,West Melbourne (Residential),Li Li's Restaurant,71-73 Stanley Street WEST MELBOURNE 3003,4511,Cafes and Restaurants,Seats - Indoor,40,144.9492295,-37.80841535,"-37.808415348852094, 144.94922948045"
2010,434,109694,109694,215 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),Don Camillo Cafe Bar Restaurant,215 Victoria Street WEST MELBOURNE 3003,4511,Cafes and Restaurants,Seats - Indoor,45,144.9542534,-37.80591867,"-37.80591867049503, 144.95425335745"
2010,434,109697,109697,223 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),Dolcetti,223-0 Victoria Street WEST MELBOURNE 3003,4511,Cafes and Restaurants,Seats - Indoor,16,144.9540448,-37.80589994,"-37.80589994006134, 144.9540448086"
2010,435,109683,109683,183-185 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),The White Lotus Vegetarian Cafe,"Part Ground , 185 Victoria Street WEST MELBOURNE 3003",4511,Cafes and Restaurants,Seats - Indoor,60,144.9554426,-37.80604902,"-37.806049024359226, 144.95544255775002"
